C_env,C_air,R_rc,R_oe,R_er,RMSE,Action_total,Energy,Penalty,Exceedance,Action_total_online,Energy_online,Penalty_online,Exceedance_online
3268865.25,229212.919,0.00319137,0.01853427,0.00493536,0.903136112,2242.238797,432.7063,275,102.8949941,2768.189209,530.6908569,53.5,52.04233523
1289877.65,550781.566,0.01145107,0.05304484,0.00327736,1.508366998,2705.865696,484.01907,105,29.35749167,3211.312744,554.1056519,35,15.85910608
1927398.37,331763.173,0.00644783,0.02570259,0.00199196,0.622676872,3037.199023,573.20435,83,28.88611172,2925.986328,560.057373,47,16.65076996
4598374.5,416172.636,0.00231116,0.04076853,0.00258888,2.13488066,2709.761936,471.0538,15.5,7.925885522,3049.029053,583.7574463,63.5,39.4481167
3098620.37,369106.502,0.00410368,0.03264079,0.00291631,1.297834854,2573.794304,428.96985,7,0.629189172,2490.447021,478.5521545,28.5,32.51898118
7405858.35,600395.964,0.01021344,0.04257998,0.0035648,0.868007827,2600.054029,437.43982,62.5,6.255227282,2970.315674,505.497345,27,6.381478647
4928747.27,451517.949,0.00963514,0.03533438,0.00230363,0.593091214,2633.379297,446.5448,1,0.260732957,2533.83252,471.8591003,41.5,11.60873409
3450075.95,614236.037,0.0080839,0.03889872,0.00323653,0.853315495,2412.418543,410.89825,3.5,0.256901552,2510.16333,479.7884521,25.5,19.87735125
1853072.99,348330.221,0.00455872,0.05428198,0.00275875,1.978079768,2440.64305,420.79282,90,30.45964021,2782.038086,485.2938232,28.5,5.854959602
4093156.11,334428.455,0.00880725,0.02295504,0.00442826,0.981414121,2071.148237,462.77737,293.5,54.68977956,2777.391846,549.713562,13.5,1.461461121
3195065.88,296443.281,0.00497372,0.03288323,0.00283293,1.044197984,2462.451219,428.559,2.5,0.208073807,2733.156494,547.302063,49,19.30825846
6393841.32,160131.953,0.00482845,0.02930775,0.00262025,0.95108522,2716.378478,460.32812,43.5,43.22165164,2734.146484,509.7991333,30.5,16.15816091
1687774.9,404440.477,0.00479097,0.03229834,0.00309709,1.083386343,2444.644105,420.65646,0.5,0.0265135,2711.599121,520.6743164,19,6.806627922
2209742.76,179771.848,0.01194101,0.02631214,0.00241735,1.6233962,2613.077443,445.08893,3.5,0.422080829,2840.942871,556.6395874,18,2.144738975
4272001.95,50907.0591,0.00269839,0.03737937,0.00337314,1.912704071,2571.301577,434.09558,96,27.81387166,2649.253418,467.3166199,25,10.96130937
4423838.67,626633.266,0.00686236,0.03087402,0.00370282,0.641244193,2321.775731,400.1145,23,1.721683157,2464.006348,475.2533569,39,18.8069425
5279686.09,554385.174,0.00630242,0.04641177,0.00367536,1.514229516,2488.894225,443.2228,58.5,6.886633575,2745.484131,481.2786865,20,3.7572898
1386496.57,446881.052,0.00732551,0.03077179,0.00171699,0.890180302,2494.693421,450.15714,10.5,0.948006084,2710.979492,518.2462769,28.5,6.094312668
5469220.78,573432.774,0.00427359,0.02316308,0.0023319,0.977685605,2851.605493,506.42755,47.5,24.68475576,2648.636719,504.6708679,18.5,4.240636756
3645065.15,248270.092,0.0061551,0.02794801,0.00295109,0.357525787,2468.520127,414.24036,11.5,1.854017497,2965.313232,540.6253052,33,31.70560577
1419812.74,259104.452,0.01130433,0.03357609,0.00366654,1.100749399,2229.518216,404.26947,81.5,6.5539261,2617.544678,533.2047729,55,34.82830637
4750817.83,316019.189,0.00505294,0.03234588,0.00146236,1.201416765,3244.871357,554.2902,244,148.6813389,2880.410156,495.9883423,40.5,12.32581591
6035515.62,433715.543,0.00789506,0.02831086,0.00236675,0.613401465,2690.594175,489.43567,14.5,1.036587203,2685.590576,609.7277222,22.5,10.64781529
2456862.56,214784.774,0.00834342,0.03578365,0.00391492,0.675679048,2063.229577,344.32095,193,35.54936171,2335.665527,440.4868774,26,11.05816298
1870925.58,683740.313,0.00920048,0.0361655,0.00457489,0.830660523,2220.452169,375.73904,323,63.41897409,3031.13916,521.1087036,20,5.323377054
