C_env,C_air,R_rc,R_oe,R_er,RMSE,Action_total,Energy,Penalty,Exceedance,Action_total_online,Energy_online,Penalty_online,Exceedance_online
2861021.5,273879.327,0.00543592,0.02509034,0.00494587,0.5297604220000001,2076.8399741210933,346.38177,234.0,107.87897847068731,2817.202880859375,521.8742065429688,38.0,27.188744158751078
6334976.69,402955.89200000005,0.0143141,0.05729827,0.00167946,1.256657001,3229.4132774658196,554.05225,157.5,71.16787842410619,3015.134033203125,536.9476928710938,21.0,9.280811098712666
4298636.91,378731.472,0.01001532,0.00525134,0.00198745,8.26907661,6577.7272768554685,1761.9736,1126.0,4766.357651103127,-961.4401245117188,18116.087890625,1099.5,8350.647715469682
3104436.98,149756.177,0.00276144,0.01369298,0.003109,0.898362282,6181.966510925293,1231.8153,908.5,4030.558872029969,3467.97607421875,2483.865966796875,717.5,1732.214307176646
3458211.77,426901.666,0.00047612,0.02608817,0.00065326,2.952926653,7823.996003295899,1232.6582,1149.5,6625.0541468826,2889.4560546875,540.0844116210938,271.0,364.56498281077177
1225594.14,128379.379,0.00585746,0.02328236,0.00415422,0.7157452679999999,2288.6552966308595,396.70557,268.5,93.90087254502312,2681.8193359375,522.4747924804688,43.0,30.362961701288796
3038732.2,306185.724,0.0076031000000000015,0.03316523,0.00883839,1.1735943000000002,1527.2621949462894,255.02211,1017.0,1117.5683143505264,2682.914794921875,608.37353515625,156.5,233.99016421853912
6462240.32,438527.591,0.00780941,0.0414482,0.00747276,1.247493647,1915.321233520508,322.07944,878.0,559.5285482500776,3234.310791015625,585.0584106445312,45.5,41.02866163046458
5876427.79,528586.802,0.0096617,0.05377252,0.0012432,1.544007074,3200.3335551757814,547.92084,214.5,62.752684296768656,2993.1787109375,522.3353881835938,28.0,7.915114148172396
3894310.43,324257.144,0.007012899999999999,0.01719279,0.00520411,1.178434529,2409.7302692260737,611.5757,170.5,39.319449956240604,2790.311767578125,584.96044921875,40.0,43.13894763422044
5293903.78,503816.037,0.01238888,0.06658016,0.0038022,1.674393842,2501.012383056641,420.56522,186.5,40.21984858059946,2910.114501953125,496.80078125,35.0,9.478250768512957
3975194.56,595253.074,0.01223939,0.02950873,0.00145365,1.568203295,3278.263993408203,558.2502400000001,131.5,55.73023812682587,2799.59375,475.9547424316406,50.5,10.346155625575472
4873900.62,421250.725,0.00300214,0.00996465,0.00276976,1.077598199,635.6084686889649,14487.197,1005.0,5034.250253980366,2558.682861328125,6323.64453125,1023.5,4511.04638239573
1468436.72,343317.565,0.01088053,0.04777724,0.00563595,1.337327901,1893.0228666992184,323.6282,1062.0,545.0141273385553,2909.7353515625,512.5325317382812,27.0,8.107344504780212
5623394.94,334851.257,0.01246847,0.0221711,0.00474237,2.174906526,2125.2079873046873,503.47388,290.0,57.76030544897584,2722.871826171875,543.7781982421875,35.5,16.387430362515275
4430653.42,193052.759,0.00437095,0.05091276,0.00447812,2.006481569,2388.991520751953,476.3185,672.5,179.64354594642273,3084.32373046875,594.4364013671875,158.0,190.02479828161478
3313823.4,285583.223,0.00429264,0.04572257,0.00592589,1.904091467,1781.2485487060544,302.7228,1052.0,679.7333680152913,2636.509765625,572.7753295898438,68.0,94.65247153829306
1388780.15,142962.044,0.00670455,0.03392821,0.00839329,1.705204543,1440.1295281982425,245.20341000000002,1068.5,1152.5276762030658,3034.22265625,518.3407592773438,32.0,9.755159286147999
1591036.31,790296.359,0.00537866,0.03276073,0.00510095,1.190388851,1971.311837890625,353.4212,696.0,203.4980482797684,2746.212890625,564.655029296875,26.5,8.118127646278808
3645666.16,513975.902,0.01275213,0.00657592,0.00147272,8.758463512999999,4983.53991003418,1279.5308,843.0,1939.8403576766711,1548.4783935546875,9187.7021484375,934.0,4674.008367619654
2723457.31,546219.559,0.00957375,0.0445199,0.00545395,1.002353983,2196.549224487305,373.55432,920.5,298.567898580843,3053.747314453125,544.811767578125,35.5,7.679454035685842
3816923.92,510793.71,0.00512225,0.02868746,0.00526475,0.913047061,2207.511263793945,368.3729,516.5,145.7067432809211,2994.638427734375,530.3762817382812,60.0,83.10804700868974
3766025.14,472079.901,0.00833323,0.04363887,0.00385776,1.023536691,2398.6434705810548,408.66663,414.5,28.977091710148244,2826.885498046875,508.2464599609375,20.5,5.573326162243642
5352254.9,270997.002,0.01330449,0.03214328,0.00045216,1.947588253,3155.78959375,2903.3582,980.0,1261.3958381945693,3292.491455078125,695.4823608398438,382.0,276.0948457811608
619612.887,253562.293,0.0002624,0.01017477,0.00219105,2.9492116630000003,8000.0,1265.882,1163.5,6829.563201954162,7991.06689453125,1267.132568359375,1163.5,6817.2476510815795
7148425.5,407791.229,0.00362837,0.03981989,0.00179184,1.89572202,3113.953040283204,536.35297,160.0,62.386851106111095,3097.778076171875,564.3701171875,33.0,12.345378708017408
3712073.36,166613.88199999998,0.00852812,0.05896216,0.00484865,1.775855525,2053.4180336914064,458.09955,889.0,285.92988677981907,3036.931884765625,516.8186645507812,22.0,3.060397295311704
2414972.88,358209.399,0.01051364,0.04040257,0.00454528,0.72457883,1947.1226619873046,333.03323,975.0,297.38266758209664,2764.5380859375,493.3023986816406,7.5,1.2640119767531122
2959642.48,695605.703,0.004093,0.01153084,0.00428789,1.030424004,4517.048989135742,1254.6271,632.5,1182.7897670482062,4237.8427734375,1306.2852783203125,511.5,868.1058070369472
996585.824,362063.316,0.00803471,0.0360704,0.00391238,0.965979288,2128.7809537353514,356.68683,466.5,78.44412902270106,2815.0390625,503.9528503417969,38.5,21.0673050277773
4602423.49,618934.371,0.00786387,0.04212312,0.00479622,1.092548182,2111.822899658203,361.9499,703.5,215.43480525530197,2774.270751953125,517.4249877929688,72.0,82.54728239008931
1177568.89,643381.399,0.00089212,0.00264702,0.00597372,1.838447434,7883.082132324219,1244.2799,1163.5,6644.1506398494175,7991.255859375,1264.5101318359375,1163.5,6817.126360574064
