lb,ub,Qsg,Tout,Tair_true,u_true
15.0,28.0,0.0,17.299999999999997,21.601385359701187,-734.67993
15.0,28.0,0.0,16.4,21.76631129630762,-709.24634
15.0,28.0,0.0,15.799999999999997,21.68218365915049,-522.6069
15.0,28.0,0.0,15.200000000000003,21.823586092650185,-432.62607
15.0,28.0,0.0,14.799999999999997,21.87230834528467,-416.03494
15.0,28.0,0.0,14.399999999999991,21.814892332951384,-383.53015
15.0,28.0,0.0,14.200000000000003,21.775167901718415,-369.97073
15.0,28.0,0.0,13.899999999999999,21.716509402102993,-345.1957
15.0,28.0,0.0,13.799999999999997,21.677657109087367,-333.18552
15.0,28.0,0.0,13.700000000000003,21.628366685545032,-326.96283
15.0,28.0,0.0,13.600000000000001,21.574254350464035,-320.1314
15.0,28.0,0.0,13.5,21.524530272440103,-313.85397
15.0,28.0,0.0,13.399999999999999,21.478246081912623,-308.01083
15.0,28.0,0.0,13.299999999999997,21.43514886701504,-302.57
15.0,28.0,0.0,13.299999999999997,21.39496685439605,-297.49725
15.0,28.0,0.0,13.299999999999997,21.357977925860435,-292.82758
15.0,28.0,1.485,13.899999999999999,21.324128713859615,-288.55426
15.0,28.0,58.556079569999994,14.600000000000001,21.296694247584796,859.4963
22.0,24.0,23.925,15.799999999999997,23.033067415306505,628.88513
22.0,24.0,119.06838779999998,17.0,23.016631459970778,527.84827
22.0,24.0,118.36055630000001,18.4,23.002451250712753,453.4824
22.0,24.0,165.0533408,19.799999999999997,23.009984174335308,260.87814
22.0,24.0,209.380991,21.0,23.04320304465881,173.21762
22.0,24.0,297.120158,22.200000000000003,23.043086613030685,77.43533
22.0,24.0,323.3944953,23.200000000000003,23.03701928595207,-5.2588196
22.0,24.0,393.4954187,24.099999999999994,23.037743184388162,-110.466736
22.0,24.0,418.1074349,25.0,23.01004948944519,-184.4964
22.0,24.0,496.90623560000006,25.900000000000006,23.012800909023817,-277.76807
22.0,24.0,508.57050810000004,26.599999999999994,22.998715962378654,-350.77338
22.0,24.0,585.9484111,27.299999999999997,22.99652249637827,-432.52374
22.0,24.0,626.0118392,27.799999999999997,22.990984157099795,-492.99606
22.0,24.0,624.281796,28.299999999999997,23.008851840307415,-503.5329
22.0,24.0,616.1062069,28.5,23.09043902953926,-518.8691
22.0,24.0,571.0052776,28.700000000000003,23.163970377266608,-535.87854
22.0,24.0,591.8202484000001,28.700000000000003,23.215704536879798,-561.8019
22.0,24.0,478.3471966,28.799999999999997,23.253586205595,-602.7143
22.0,24.0,423.60562230000005,28.900000000000006,23.226740994318504,-603.85
22.0,24.0,216.3686579,28.900000000000006,23.238501706535196,-597.90643
22.0,24.0,227.3332997,28.799999999999997,23.21056735670615,-592.834
22.0,24.0,122.8774965,28.599999999999994,23.195924184217922,-593.4326
22.0,24.0,129.81948799999998,28.299999999999997,23.1453140619126,-582.62427
22.0,24.0,44.385,28.0,23.117709281441247,-490.25897
22.0,24.0,52.59964202,28.0,22.996686672699568,-460.08893
22.0,24.0,21.12,26.900000000000006,22.97446445510995,-416.2941
22.0,24.0,10.065,25.900000000000006,22.976593130837877,-374.98334
22.0,24.0,11.966495670000002,24.900000000000006,22.978673933749487,-344.5295
15.0,28.0,0.0,24.0,22.967431172998186,-326.8219
15.0,28.0,0.0,23.200000000000003,22.93273433059137,-363.9213
15.0,28.0,0.0,22.799999999999997,22.81289315092163,-1123.0038
15.0,28.0,0.0,22.400000000000006,21.580485996219753,-639.4068
15.0,28.0,0.0,22.1,22.014703741543222,-894.3938
15.0,28.0,0.0,21.799999999999997,21.581976669832635,-523.1637
15.0,28.0,0.0,21.6,21.976251250375036,-630.2897
15.0,28.0,0.0,21.4,21.79024332028924,-404.05054
15.0,28.0,0.0,21.299999999999997,22.036239641498796,-439.4401
15.0,28.0,0.0,21.200000000000003,21.966461365187545,-415.07532
15.0,28.0,0.0,21.299999999999997,21.950376588126893,-408.15152
15.0,28.0,0.0,21.299999999999997,21.92027998258379,-393.69003
15.0,28.0,0.0,21.1,21.90392718784186,-388.0211
15.0,28.0,0.0,20.9,21.878980757369515,-367.05292
15.0,28.0,0.0,20.4,21.87772644267256,-365.307
15.0,28.0,0.0,19.900000000000006,21.851599759406803,-355.1449
15.0,28.0,0.0,19.299999999999997,21.833848446395468,-352.9039
15.0,28.0,0.0,18.6,21.803990121255588,-349.13443
15.0,28.0,2.145,18.5,21.772373845850986,-345.143
15.0,28.0,59.83794549,18.299999999999997,21.742022141880195,499.17258
22.0,24.0,24.255,18.9,23.007167014380567,363.08282
22.0,24.0,115.4087307,19.39999999999999,23.02769137135181,279.828
22.0,24.0,60.47298408,20.299999999999997,22.9996193409825,243.80014
22.0,24.0,172.3152619,21.1,23.005346057423523,86.045044
22.0,24.0,122.2668529,21.700000000000003,23.058909317264764,40.47473
22.0,24.0,330.83680439999995,22.400000000000006,23.06472282731186,-58.951385
22.0,24.0,326.0023189,22.9,23.038365729618878,-122.82486
22.0,24.0,509.5403113,23.299999999999997,23.03057557158599,-222.11725
22.0,24.0,540.764517,23.700000000000003,23.010290152054367,-291.30286
22.0,24.0,650.159358,24.099999999999994,23.012201562413928,-382.45642
22.0,24.0,679.3646442000002,24.400000000000006,22.997636720575834,-442.6157
22.0,24.0,729.5834909,24.799999999999997,23.011405417913377,-501.38516
22.0,24.0,739.3866602,25.0,23.02985621722527,-504.68402
22.0,24.0,730.3185855,25.299999999999997,23.119624216686937,-523.85297
22.0,24.0,718.6380214,25.5,23.18530513499092,-533.3887
22.0,24.0,649.7882838,25.700000000000003,23.253829068617815,-553.1969
22.0,24.0,619.4570317000001,25.799999999999997,23.283944703797882,-579.3276
22.0,24.0,494.5346672,25.900000000000006,23.291010781481024,-604.1318
22.0,24.0,434.2262578,25.799999999999997,23.259348064241074,-599.3581
22.0,24.0,276.82611539999994,25.700000000000003,23.25569531731619,-600.8318
22.0,24.0,212.85395,25.200000000000003,23.20639369877084,-587.49115
22.0,24.0,128.9326669,24.700000000000003,23.167001454598072,-573.5679
22.0,24.0,90.98752998,23.700000000000003,23.11207502311146,-538.84973
22.0,24.0,56.595,22.799999999999997,23.0821455162041,-409.331
22.0,24.0,40.59,22.799999999999997,22.996982869609717,-359.45715
22.0,24.0,25.245,20.4,22.983276527720548,-301.32758
22.0,24.0,11.88,19.200000000000003,22.986315949591322,-251.3931
22.0,24.0,15.52479867,18.10000000000001,22.977246004169707,-205.77664
15.0,28.0,0.0,17.599999999999994,22.965894481432418,-184.04257
15.0,28.0,0.0,17.1,22.919652157667485,-969.8059
15.0,28.0,0.0,16.700000000000003,21.64671523911319,-719.5436
15.0,28.0,0.0,16.299999999999997,21.710277750282486,-590.7381
15.0,28.0,0.0,15.899999999999999,21.77799285932772,-527.2456
15.0,28.0,0.0,15.5,21.77033613024877,-419.55255
15.0,28.0,0.0,15.099999999999994,21.83472619054947,-408.82437
15.0,28.0,0.0,14.700000000000003,21.777684155179806,-373.6985
15.0,28.0,0.0,14.399999999999991,21.74825988864348,-362.5258
15.0,28.0,0.0,14.100000000000001,21.692778740555227,-337.81842
15.0,28.0,0.0,13.899999999999999,21.658895203836938,-330.8169
15.0,28.0,0.0,13.700000000000003,21.60640244167522,-324.18994
15.0,28.0,0.0,13.5,21.55471146017541,-317.6642
15.0,28.0,0.0,13.299999999999997,21.50607787393147,-311.52444
15.0,28.0,0.0,13.0,21.460090889236046,-305.71884
15.0,28.0,0.0,12.700000000000003,21.416012486510763,-300.15414
15.0,28.0,0.0,12.400000000000006,21.3734644163444,-294.78268
15.0,28.0,0.0,12.0,21.332331448470544,-289.5898
15.0,28.0,1.98,13.100000000000009,21.291968976330875,-284.49426
15.0,28.0,63.894324999999995,14.100000000000001,21.260504407143276,889.8645
22.0,24.0,26.07,15.200000000000003,23.036432589758945,648.9872
22.0,24.0,111.4428186,16.299999999999997,23.011304111447654,554.38324
22.0,24.0,57.915,17.200000000000003,23.00372314135443,493.23663
22.0,24.0,169.08884469999998,18.10000000000001,23.014057953256625,297.95428
22.0,24.0,119.57057309999999,18.799999999999997,23.04572478702942,232.03485
22.0,24.0,330.3370582,19.39999999999999,23.04639996904185,126.49045
22.0,24.0,324.72833060000005,20.0,23.03401214622962,56.411255
22.0,24.0,510.1311855000001,20.60000000000001,23.039629781277917,-60.99991
22.0,24.0,538.3897063999999,21.200000000000003,23.014153879884734,-148.8717
22.0,24.0,648.0742247999999,21.799999999999997,23.004724127927624,-244.64267
22.0,24.0,673.4987,22.299999999999997,22.99763247028514,-320.9293
22.0,24.0,723.9465739000001,22.799999999999997,23.002224953647296,-408.8195
22.0,24.0,735.2223364,23.10000000000001,22.988073727006924,-472.07913
22.0,24.0,726.2296870999999,23.5,22.99212528307661,-499.59018
22.0,24.0,715.3576322,23.700000000000003,23.036740039999593,-508.54083
22.0,24.0,644.9089318,23.9,23.104104847172014,-524.6582
22.0,24.0,614.8040202000001,24.0,23.139530295961933,-532.695
22.0,24.0,489.56663430000003,24.099999999999994,23.175196714508683,-561.52014
22.0,24.0,432.9948978,24.099999999999994,23.14336751294835,-558.0579
22.0,24.0,273.3120913,24.099999999999994,23.141364593846962,-560.9828
22.0,24.0,211.5331912,23.9,23.09318391486373,-539.361
22.0,24.0,128.0335723,23.700000000000003,23.071820291328294,-513.97327
22.0,24.0,90.46356319,23.200000000000003,23.04468257708964,-490.18912
22.0,24.0,57.42,22.700000000000003,23.01398494626585,-340.1692
22.0,24.0,41.25,22.700000000000003,22.97409655525705,-299.7658
22.0,24.0,25.08,20.4,22.967812703656335,-254.88318
22.0,24.0,10.395,19.39999999999999,22.966279330155846,-209.98326
22.0,24.0,13.512384900000002,18.4,22.962009354474986,-165.27618
15.0,28.0,0.0,17.9,22.962162527008534,-161.5582
15.0,28.0,0.0,17.5,22.9020206844988,-935.2148
15.0,28.0,0.0,17.1,21.65534907406848,-684.42993
15.0,28.0,0.0,16.700000000000003,21.733210491504323,-575.6264
15.0,28.0,0.0,16.5,21.782055046508866,-511.56155
15.0,28.0,0.0,16.4,21.780854177986313,-421.79767
15.0,28.0,0.0,16.299999999999997,21.827962726524177,-412.35254
15.0,28.0,0.0,16.200000000000003,21.77562708121615,-373.49808
15.0,28.0,0.0,16.1,21.762508533780288,-365.76358
15.0,28.0,0.0,16.0,21.7153258793892,-345.3662
15.0,28.0,0.0,15.799999999999997,21.68783194092559,-334.72028
15.0,28.0,0.0,15.600000000000009,21.652723876007812,-330.0378
15.0,28.0,0.0,15.399999999999999,21.610863149262496,-324.7531
15.0,28.0,0.0,15.200000000000003,21.57130719339964,-319.75934
15.0,28.0,0.0,15.0,21.533625479148103,-315.00223
15.0,28.0,0.0,14.799999999999997,21.49767492871528,-310.46365
15.0,28.0,0.0,14.900000000000006,21.463308302562723,-306.125
15.0,28.0,0.0,14.900000000000006,21.431964488030363,-302.168
15.0,28.0,1.485,15.5,21.403512890748477,-298.57614
15.0,28.0,41.39498136,16.0,21.38100472032843,784.91296
22.0,24.0,48.45134952,16.799999999999997,23.018858551108558,581.32715
22.0,24.0,133.7924499,17.5,23.0331603574207,475.27002
22.0,24.0,99.4199223,18.4,23.009787316955396,411.50745
22.0,24.0,218.8266454,19.299999999999997,23.014641706651265,216.47156
22.0,24.0,195.5727283,20.299999999999997,23.046998492084036,141.36166
22.0,24.0,301.83176549999996,21.4,23.042948887506665,54.1821
22.0,24.0,334.0320003,22.5,23.038199652783735,-23.11496
22.0,24.0,437.9453062,23.5,23.03861147718272,-130.48761
22.0,24.0,509.31341339999994,24.299999999999997,23.009964747306785,-218.18306
22.0,24.0,625.0572553,25.099999999999994,23.004227782972656,-319.65515
