energy_true,penalty_true,exceedance_true
0.028491292148828506,0.0,0.0
0.05186830461025238,0.0,0.0
0.07480034232139587,0.0,0.0
0.09719806164503098,0.0,0.0
0.11902254447340965,0.0,0.0
0.14057050086557865,0.0,0.0
0.16102932207286358,0.0,0.0
0.18133050948381424,0.0,0.0
0.2011470552533865,0.0,0.0
0.22090486623346806,0.0,0.0
0.24058502353727818,0.0,0.0
0.2602867539972067,0.0,0.0
0.7117695566266775,0.0,0.0
1.1510450597852468,0.0,0.0
1.5460923966020346,0.0,0.0
1.9188036378473043,0.0,0.0
2.2050848361104727,0.0,0.0
2.4631489869207144,0.0,0.0
2.6567048337310553,0.0,0.0
2.8118127938359976,0.0,0.0
2.9070108365267515,0.0,0.0
2.969275077804923,0.0,0.0
2.995510309934616,0.0,0.0
3.0225122198462486,0.0,0.0
3.050473615527153,0.0,0.0
3.0800379645079374,0.0,0.0
3.11115931160748,0.0,0.0
3.1404570769518614,0.0,0.0
3.1703835520893335,0.0,0.0
3.201520698145032,0.0,0.0
3.233169747516513,0.0,0.0
3.2649269681423903,0.0,0.0
3.2961317002773285,0.0,0.0
3.326758336275816,0.0,0.0
3.35715701431036,0.0,0.0
3.3862738721072674,0.0,0.0
3.4130967650562525,0.0,0.0
3.4575536120682955,0.0,0.0
3.539551230147481,0.0,0.0
3.645526023581624,0.0,0.0
3.773587228730321,0.0,0.0
3.9132620710879564,0.0,0.0
3.9692816082388163,0.0,0.0
4.017410913482308,0.0,0.0
4.059872077777982,0.0,0.0
4.088856063783169,0.0,0.0
4.111695308238268,0.0,0.0
4.133450526744127,0.0,0.0
4.153710603713989,0.0,0.0
4.17339389398694,0.0,0.0
4.192005205899477,0.0,0.0
4.210131980478764,0.0,0.0
4.228070029988885,0.0,0.0
4.24580273590982,0.0,0.0
4.263346256688237,0.0,0.0
4.280713325366378,0.0,0.0
4.29791572317481,0.0,0.0
4.314975805580616,0.0,0.0
4.331904882565141,0.0,0.0
4.348782220855355,0.0,0.0
4.989415029063821,0.0,0.0
5.621216872707009,0.0,0.0
6.195999840274453,0.0,0.0
6.728786030784249,0.0,0.0
7.155393609777093,0.0,0.0
7.5358635280281305,0.0,0.0
7.863400647416711,0.0,0.0
8.144826689735055,0.0,0.0
8.368085348978639,0.0,0.0
8.54854036308825,0.0,0.0
8.677613580599427,0.0,0.0
8.765349442139268,0.0,0.0
8.807717682793736,0.0,0.0
8.83375813998282,0.0,0.0
8.860434744507074,0.0,0.0
8.887786410748959,0.0,0.0
8.915909383445978,0.0,0.0
8.945201667025685,0.0,0.0
8.976474927738309,0.0,0.0
9.007898660376668,0.0,0.0
9.039002330973744,0.0,0.0
9.06986871547997,0.0,0.0
9.100715322420001,0.0,0.0
9.131009923294187,0.0,0.0
9.156803080812097,0.0,0.0
9.184075333178043,0.0,0.0
9.23381607979536,0.0,0.0
9.306374669075012,0.0,0.0
9.395726077258587,0.0,0.0
9.49390359967947,0.0,0.0
9.56887323409319,0.0,0.0
9.633674308657646,0.0,0.0
9.674606435000896,0.0,0.0
9.732289541512728,0.0,0.0
9.763554889708757,0.0,0.0
9.799125425517559,0.0,0.0
9.821751192212105,0.0,0.0
9.845460269600153,0.0,0.0
9.868094395846128,0.0,0.0
9.890439810231328,0.0,0.0
9.912131050601602,0.0,0.0
9.933539232239127,0.0,0.0
9.953927556052804,0.0,0.0
9.974142858758569,0.0,0.0
9.993835674598813,0.0,0.0
10.013358345255256,0.0,0.0
10.032651625573635,0.0,0.0
10.051808077841997,0.0,0.0
